state,cases,date
KY,5,2021-02-21
LA,15,2021-02-21
ME,2,2021-02-21
MH,0,2021-02-21
MD,47,2021-02-21
MA,44,2021-02-21
MI,210,2021-02-21
FM,0,2021-02-21
MN,43,2021-02-21
MS,1,2021-02-21
MO,1,2021-02-21
MT,0,2021-02-21
NE,0,2021-02-21
NV,6,2021-02-21
NH,1,2021-02-21
NJ,50,2021-02-21
NM,2,2021-02-21
NY,82,2021-02-21
NC,37,2021-02-21
ND,0,2021-02-21
MP,0,2021-02-21
OH,11,2021-02-21
OK,0,2021-02-21
OR,4,2021-02-21
PW,0,2021-02-21
PA,29,2021-02-21
PR,1,2021-02-21
RI,3,2021-02-21
SC,1,2021-02-21
SD,0,2021-02-21
TN,13,2021-02-21
TX,60,2021-02-21
UT,12,2021-02-21
VT,0,2021-02-21
VI,0,2021-02-21
VA,12,2021-02-21
WA,19,2021-02-21
WV,3,2021-02-21
WI,6,2021-02-21
WY,5,2021-02-21
AL,22,2021-02-23
AK,2,2021-02-23
AS,0,2021-02-23
AZ,6,2021-02-23
AR,0,2021-02-23
CA,204,2021-02-23
CO,85,2021-02-23
CT,42,2021-02-23
DC,4,2021-02-23
DE,7,2021-02-23
FL,489,2021-02-23
GA,119,2021-02-23
GU,0,2021-02-23
HI,2,2021-02-23
ID,0,2021-02-23
IL,42,2021-02-23
IN,16,2021-02-23
IA,10,2021-02-23
KS,2,2021-02-23
KY,5,2021-02-23
LA,17,2021-02-23
ME,2,2021-02-23
MH,0,2021-02-23
MD,58,2021-02-23
MA,51,2021-02-23
MI,210,2021-02-23
FM,0,2021-02-23
MN,43,2021-02-23
MS,1,2021-02-23
MO,1,2021-02-23
MT,0,2021-02-23
NE,0,2021-02-23
NV,7,2021-02-23
NH,1,2021-02-23
NJ,50,2021-02-23
NM,4,2021-02-23
NY,136,2021-02-23
NC,37,2021-02-23
ND,4,2021-02-23
MP,0,2021-02-23
OH,11,2021-02-23
OK,0,2021-02-23
OR,9,2021-02-23
PW,0,2021-02-23
PA,38,2021-02-23
PR,1,2021-02-23
RI,3,2021-02-23
SC,7,2021-02-23
SD,0,2021-02-23
TN,13,2021-02-23
TX,60,2021-02-23
UT,12,2021-02-23
VT,0,2021-02-23
VI,0,2021-02-23
VA,11,2021-02-23
WA,19,2021-02-23
WV,3,2021-02-23
WI,6,2021-02-23
WY,9,2021-02-23
AL,35,2021-02-25
AK,2,2021-02-25
AS,0,2021-02-25
AZ,14,2021-02-25
AR,0,2021-02-25
CA,204,2021-02-25
CO,86,2021-02-25
CT,42,2021-02-25
DC,4,2021-02-25
DE,7,2021-02-25
FL,500,2021-02-25
GA,119,2021-02-25
GU,0,2021-02-25
HI,2,2021-02-25
ID,0,2021-02-25
IL,42,2021-02-25
IN,16,2021-02-25
IA,10,2021-02-25
KS,2,2021-02-25
KY,5,2021-02-25
LA,17,2021-02-25
ME,2,2021-02-25
MH,0,2021-02-25
MD,68,2021-02-25
MA,51,2021-02-25
MI,336,2021-02-25
FM,0,2021-02-25
MN,57,2021-02-25
MS,1,2021-02-25
MO,1,2021-02-25
MT,0,2021-02-25
NE,0,2021-02-25
NV,7,2021-02-25
NH,1,2021-02-25
NJ,55,2021-02-25
NM,4,2021-02-25
NY,136,2021-02-25
NC,40,2021-02-25
ND,4,2021-02-25
MP,0,2021-02-25
OH,19,2021-02-25
OK,0,2021-02-25
OR,9,2021-02-25
PW,0,2021-02-25
PA,39,2021-02-25
PR,1,2021-02-25
RI,3,2021-02-25
SC,7,2021-02-25
SD,0,2021-02-25
TN,13,2021-02-25
TX,60,2021-02-25
UT,12,2021-02-25
VT,0,2021-02-25
VI,0,2021-02-25
VA,12,2021-02-25
WA,39,2021-02-25
WV,3,2021-02-25
WI,6,2021-02-25
WY,9,2021-02-25
AL,35,2021-02-28
AK,2,2021-02-28
AS,0,2021-02-28
AZ,14,2021-02-28
AR,0,2021-02-28
CA,204,2021-02-28
CO,86,2021-02-28
CT,42,2021-02-28
DC,4,2021-02-28
DE,7,2021-02-28
FL,500,2021-02-28
GA,119,2021-02-28
GU,0,2021-02-28
HI,2,2021-02-28
ID,0,2021-02-28
IL,42,2021-02-28
IN,16,2021-02-28
IA,10,2021-02-28
KS,2,2021-02-28
KY,5,2021-02-28
